row_num,transect_dist_id,depth_cm,extract,fraction,replicate,soil_moist_type,p_conc_mgperkg,notes
481,1,10,H2O,Pi,1,field_fesh,1.415737,
482,1,10,H2O,Pi,2,field_fesh,1.177902,
483,1,10,H2O,Pi,3,field_fesh,1.455154,
484,1,30,H2O,Pi,1,field_fesh,1.015805,
485,1,30,H2O,Pi,2,field_fesh,1.065227,
486,1,30,H2O,Pi,3,field_fesh,1.004544,
487,1,50,H2O,Pi,1,field_fesh,1.311801,
488,1,50,H2O,Pi,2,field_fesh,1.324829,
489,1,50,H2O,Pi,3,field_fesh,1.309895,
490,1,100,H2O,Pi,1,field_fesh,3.771771,
491,1,100,H2O,Pi,2,field_fesh,2.122121,
492,1,100,H2O,Pi,3,field_fesh,2.081447,
493,2,10,H2O,Pi,1,field_fesh,0.968060,
494,2,10,H2O,Pi,2,field_fesh,0.984913,
495,2,10,H2O,Pi,3,field_fesh,0.998586,
496,2,30,H2O,Pi,1,field_fesh,1.758743,
497,2,30,H2O,Pi,2,field_fesh,1.708087,
498,2,30,H2O,Pi,3,field_fesh,1.706836,
499,2,50,H2O,Pi,1,field_fesh,1.786148,
500,2,50,H2O,Pi,2,field_fesh,1.671384,
501,2,50,H2O,Pi,3,field_fesh,1.747046,
502,2,100,H2O,Pi,1,field_fesh,3.051257,
503,2,100,H2O,Pi,2,field_fesh,2.989988,
504,2,100,H2O,Pi,3,field_fesh,3.120781,
505,3,10,H2O,Pi,1,field_fesh,0.861161,
506,3,10,H2O,Pi,2,field_fesh,0.798525,
507,3,10,H2O,Pi,3,field_fesh,0.827458,
508,3,30,H2O,Pi,1,field_fesh,0.893655,
509,3,30,H2O,Pi,2,field_fesh,0.909871,
510,3,30,H2O,Pi,3,field_fesh,0.948664,
511,3,50,H2O,Pi,1,field_fesh,1.431614,
512,3,50,H2O,Pi,2,field_fesh,1.374545,
513,3,50,H2O,Pi,3,field_fesh,1.421840,
514,3,100,H2O,Pi,1,field_fesh,2.113293,
515,3,100,H2O,Pi,2,field_fesh,1.922851,
516,3,100,H2O,Pi,3,field_fesh,2.215765,
517,4,10,H2O,Pi,1,field_fesh,0.784701,
518,4,10,H2O,Pi,2,field_fesh,0.784701,
519,4,10,H2O,Pi,3,field_fesh,0.740611,
520,4,30,H2O,Pi,1,field_fesh,0.662614,
521,4,30,H2O,Pi,2,field_fesh,0.674187,
522,4,30,H2O,Pi,3,field_fesh,0.654794,
523,4,50,H2O,Pi,1,field_fesh,1.040015,
